areaType,areaName,areaCode,dateyear,newCasesByPublishDate
nation,England,E92000001,24/08/2021,23474
nation,England,E92000001,23/08/2021,24158
nation,England,E92000001,22/08/2021,25952
nation,England,E92000001,21/08/2021,26982
nation,England,E92000001,20/08/2021,29576
nation,England,E92000001,19/08/2021,29762
nation,England,E92000001,18/08/2021,28648
nation,England,E92000001,17/08/2021,22712
nation,England,E92000001,16/08/2021,23171
nation,England,E92000001,15/08/2021,22859
nation,England,E92000001,14/08/2021,26700
nation,England,E92000001,13/08/2021,28679
nation,England,E92000001,12/08/2021,28093
nation,England,E92000001,11/08/2021,26647
nation,England,E92000001,10/08/2021,20630
nation,England,E92000001,09/08/2021,21915
nation,England,E92000001,08/08/2021,24196
nation,England,E92000001,07/08/2021,25877
nation,England,E92000001,06/08/2021,28321
nation,England,E92000001,05/08/2021,26512
nation,England,E92000001,04/08/2021,26393
nation,England,E92000001,03/08/2021,19012
nation,England,E92000001,02/08/2021,19175
nation,England,E92000001,01/08/2021,21645
nation,England,E92000001,31/07/2021,23949
nation,England,E92000001,30/07/2021,26241
nation,England,E92000001,29/07/2021,27524
nation,England,E92000001,28/07/2021,24367
nation,England,E92000001,27/07/2021,20290
nation,England,E92000001,26/07/2021,22181
nation,England,E92000001,25/07/2021,25434
nation,England,E92000001,24/07/2021,28968
nation,England,E92000001,23/07/2021,32792
nation,England,E92000001,22/07/2021,35939
nation,England,E92000001,21/07/2021,39504
nation,England,E92000001,20/07/2021,43261
nation,England,E92000001,19/07/2021,34657
nation,England,E92000001,18/07/2021,44777
nation,England,E92000001,17/07/2021,50955
nation,England,E92000001,16/07/2021,47360
nation,England,E92000001,15/07/2021,44523
nation,England,E92000001,14/07/2021,37895
nation,England,E92000001,13/07/2021,32883
nation,England,E92000001,12/07/2021,30619
nation,England,E92000001,11/07/2021,28421
nation,England,E92000001,10/07/2021,29732
nation,England,E92000001,09/07/2021,31231
nation,England,E92000001,08/07/2021,28421
nation,England,E92000001,07/07/2021,27516
nation,England,E92000001,06/07/2021,25295
nation,England,E92000001,05/07/2021,23286
nation,England,E92000001,04/07/2021,20454
nation,England,E92000001,03/07/2021,21317
nation,England,E92000001,02/07/2021,22393
nation,England,E92000001,01/07/2021,22948
nation,England,E92000001,30/06/2021,21293
nation,England,E92000001,29/06/2021,16802
nation,England,E92000001,28/06/2021,18702
nation,England,E92000001,27/06/2021,11560
nation,England,E92000001,26/06/2021,15136
nation,England,E92000001,25/06/2021,13498
nation,England,E92000001,24/06/2021,13068
nation,England,E92000001,23/06/2021,12765
nation,England,E92000001,22/06/2021,9096
nation,England,E92000001,21/06/2021,8766
nation,England,E92000001,20/06/2021,7778
nation,England,E92000001,19/06/2021,8954
nation,England,E92000001,18/06/2021,9185
nation,England,E92000001,17/06/2021,9371
nation,England,E92000001,16/06/2021,7642
nation,England,E92000001,15/06/2021,6486
nation,England,E92000001,14/06/2021,6647
nation,England,E92000001,13/06/2021,6269
nation,England,E92000001,12/06/2021,6601
nation,England,E92000001,11/06/2021,6782
nation,England,E92000001,10/06/2021,6436
nation,England,E92000001,09/06/2021,6201
nation,England,E92000001,08/06/2021,5250
nation,England,E92000001,07/06/2021,4913
nation,England,E92000001,06/06/2021,4405
nation,England,E92000001,05/06/2021,4810
nation,England,E92000001,04/06/2021,5102
nation,England,E92000001,03/06/2021,4310
nation,England,E92000001,02/06/2021,3486
nation,England,E92000001,01/06/2021,2539
nation,England,E92000001,31/05/2021,2854
nation,England,E92000001,30/05/2021,2621
nation,England,E92000001,29/05/2021,2747
nation,England,E92000001,28/05/2021,3434
nation,England,E92000001,27/05/2021,2936
nation,England,E92000001,26/05/2021,2540
nation,England,E92000001,25/05/2021,2081
nation,England,E92000001,24/05/2021,1972
nation,England,E92000001,23/05/2021,1734
nation,England,E92000001,22/05/2021,2242
nation,England,E92000001,21/05/2021,2303
nation,England,E92000001,20/05/2021,2307
nation,England,E92000001,19/05/2021,2151
nation,England,E92000001,18/05/2021,2008
nation,England,E92000001,17/05/2021,1645
nation,England,E92000001,16/05/2021,1471
nation,England,E92000001,15/05/2021,1614
nation,England,E92000001,14/05/2021,1828
nation,England,E92000001,13/05/2021,2229
nation,England,E92000001,12/05/2021,1804
nation,England,E92000001,11/05/2021,2117
nation,England,E92000001,10/05/2021,2009
nation,England,E92000001,09/05/2021,1418
nation,England,E92000001,08/05/2021,1742
nation,England,E92000001,07/05/2021,2142
nation,England,E92000001,06/05/2021,2194
nation,England,E92000001,05/05/2021,1906
nation,England,E92000001,04/05/2021,1659
nation,England,E92000001,03/05/2021,1453
nation,England,E92000001,02/05/2021,1377
nation,England,E92000001,01/05/2021,1642
nation,England,E92000001,30/04/2021,2046
nation,England,E92000001,29/04/2021,2103
nation,England,E92000001,28/04/2021,1829
nation,England,E92000001,27/04/2021,2410
nation,England,E92000001,26/04/2021,1752
nation,England,E92000001,25/04/2021,1401
nation,England,E92000001,24/04/2021,1804
nation,England,E92000001,23/04/2021,2277
nation,England,E92000001,22/04/2021,2315
nation,England,E92000001,21/04/2021,1943
nation,England,E92000001,20/04/2021,2169
nation,England,E92000001,19/04/2021,2550
nation,England,E92000001,18/04/2021,1495
nation,England,E92000001,17/04/2021,1897
nation,England,E92000001,16/04/2021,2225
nation,England,E92000001,15/04/2021,2171
nation,England,E92000001,14/04/2021,2054
nation,England,E92000001,13/04/2021,2070
nation,England,E92000001,12/04/2021,3222
nation,England,E92000001,11/04/2021,1338
nation,England,E92000001,10/04/2021,2032
nation,England,E92000001,09/04/2021,2638
nation,England,E92000001,08/04/2021,2486
nation,England,E92000001,07/04/2021,2304
nation,England,E92000001,06/04/2021,1937
nation,England,E92000001,05/04/2021,2236
nation,England,E92000001,04/04/2021,1954
nation,England,E92000001,03/04/2021,2847
nation,England,E92000001,02/04/2021,2881
nation,England,E92000001,01/04/2021,3784
nation,England,E92000001,31/03/2021,3327
nation,England,E92000001,30/03/2021,3384
nation,England,E92000001,29/03/2021,4112
nation,England,E92000001,28/03/2021,3153
nation,England,E92000001,27/03/2021,3813
nation,England,E92000001,26/03/2021,5273
nation,England,E92000001,25/03/2021,5286
nation,England,E92000001,24/03/2021,4615
nation,England,E92000001,23/03/2021,4583
nation,England,E92000001,22/03/2021,4746
nation,England,E92000001,21/03/2021,4459
nation,England,E92000001,20/03/2021,4732
nation,England,E92000001,19/03/2021,3809
nation,England,E92000001,18/03/2021,5213
nation,England,E92000001,17/03/2021,4827
nation,England,E92000001,16/03/2021,4391
nation,England,E92000001,15/03/2021,4264
nation,England,E92000001,14/03/2021,3774
nation,England,E92000001,13/03/2021,4539
nation,England,E92000001,12/03/2021,5529
nation,England,E92000001,11/03/2021,5744
nation,England,E92000001,10/03/2021,4863
nation,England,E92000001,09/03/2021,4894
nation,England,E92000001,08/03/2021,3903
nation,England,E92000001,07/03/2021,4497
nation,England,E92000001,06/03/2021,5118
nation,England,E92000001,05/03/2021,5053
nation,England,E92000001,04/03/2021,5643
nation,England,E92000001,03/03/2021,5408
nation,England,E92000001,02/03/2021,5530
nation,England,E92000001,01/03/2021,4738
nation,England,E92000001,28/02/2021,5080
nation,England,E92000001,27/02/2021,6527
nation,England,E92000001,26/02/2021,7393
nation,England,E92000001,25/02/2021,8623
nation,England,E92000001,24/02/2021,8644
nation,England,E92000001,23/02/2021,7292
nation,England,E92000001,22/02/2021,9420
nation,England,E92000001,21/02/2021,8408
nation,England,E92000001,20/02/2021,8964
nation,England,E92000001,19/02/2021,10296
nation,England,E92000001,18/02/2021,10740
nation,England,E92000001,17/02/2021,10926
nation,England,E92000001,16/02/2021,9236
nation,England,E92000001,15/02/2021,8609
nation,England,E92000001,14/02/2021,9499
nation,England,E92000001,13/02/2021,11697
nation,England,E92000001,12/02/2021,13299
nation,England,E92000001,11/02/2021,12001
nation,England,E92000001,10/02/2021,11551
nation,England,E92000001,09/02/2021,10916
nation,England,E92000001,08/02/2021,12270
nation,England,E92000001,07/02/2021,14466
nation,England,E92000001,06/02/2021,16302
nation,England,E92000001,05/02/2021,17314
nation,England,E92000001,04/02/2021,18529
nation,England,E92000001,03/02/2021,17265
nation,England,E92000001,02/02/2021,15021
nation,England,E92000001,01/02/2021,16815
nation,England,E92000001,31/01/2021,19054
nation,England,E92000001,30/01/2021,21089
nation,England,E92000001,29/01/2021,26709
nation,England,E92000001,28/01/2021,26182
nation,England,E92000001,27/01/2021,22914
nation,England,E92000001,26/01/2021,17920
nation,England,E92000001,25/01/2021,20149
nation,England,E92000001,24/01/2021,27580
nation,England,E92000001,23/01/2021,30496
nation,England,E92000001,22/01/2021,37115
nation,England,E92000001,21/01/2021,34371
nation,England,E92000001,20/01/2021,35061
nation,England,E92000001,19/01/2021,30371
nation,England,E92000001,18/01/2021,34134
nation,England,E92000001,17/01/2021,35263
nation,England,E92000001,16/01/2021,37759
nation,England,E92000001,15/01/2021,50741
nation,England,E92000001,14/01/2021,44358
nation,England,E92000001,13/01/2021,42898
nation,England,E92000001,12/01/2021,41121
nation,England,E92000001,11/01/2021,41835
nation,England,E92000001,10/01/2021,50291
nation,England,E92000001,09/01/2021,54257
nation,England,E92000001,08/01/2021,61757
nation,England,E92000001,07/01/2021,46841
nation,England,E92000001,06/01/2021,56060
nation,England,E92000001,05/01/2021,54940
nation,England,E92000001,04/01/2021,53180
nation,England,E92000001,03/01/2021,46853
nation,England,E92000001,02/01/2021,49248
nation,England,E92000001,01/01/2021,50746
nation,England,E92000001,31/12/2020,49510
nation,England,E92000001,30/12/2020,43554
nation,England,E92000001,29/12/2020,47164
nation,England,E92000001,28/12/2020,36511
nation,England,E92000001,27/12/2020,25619
nation,England,E92000001,26/12/2020,31307
nation,England,E92000001,25/12/2020,31560
nation,England,E92000001,24/12/2020,35561
nation,England,E92000001,23/12/2020,34247
nation,England,E92000001,22/12/2020,32288
nation,England,E92000001,21/12/2020,28742
nation,England,E92000001,20/12/2020,32155
nation,England,E92000001,19/12/2020,22775
nation,England,E92000001,18/12/2020,24452
nation,England,E92000001,17/12/2020,22401
nation,England,E92000001,16/12/2020,23432
nation,England,E92000001,15/12/2020,16504
nation,England,E92000001,14/12/2020,17882
nation,England,E92000001,13/12/2020,17164
nation,England,E92000001,12/12/2020,17468
nation,England,E92000001,11/12/2020,17899
nation,England,E92000001,10/12/2020,17622
nation,England,E92000001,09/12/2020,12960
nation,England,E92000001,08/12/2020,10459
nation,England,E92000001,07/12/2020,11623
nation,England,E92000001,06/12/2020,14294
nation,England,E92000001,05/12/2020,12666
nation,England,E92000001,04/12/2020,13412
nation,England,E92000001,03/12/2020,11992
nation,England,E92000001,02/12/2020,13323
nation,England,E92000001,01/12/2020,11618
nation,England,E92000001,30/11/2020,10869
nation,England,E92000001,29/11/2020,10054
nation,England,E92000001,28/11/2020,13323
nation,England,E92000001,27/11/2020,13557
nation,England,E92000001,26/11/2020,14637
nation,England,E92000001,25/11/2020,15893
nation,England,E92000001,24/11/2020,9854
nation,England,E92000001,23/11/2020,13329
nation,England,E92000001,22/11/2020,16668
nation,England,E92000001,21/11/2020,17615
nation,England,E92000001,20/11/2020,17845
nation,England,E92000001,19/11/2020,20291
nation,England,E92000001,18/11/2020,17189
nation,England,E92000001,17/11/2020,17549
nation,England,E92000001,16/11/2020,19423
nation,England,E92000001,15/11/2020,21998
nation,England,E92000001,14/11/2020,24298
nation,England,E92000001,13/11/2020,24540
nation,England,E92000001,12/11/2020,30843
nation,England,E92000001,11/11/2020,19970
nation,England,E92000001,10/11/2020,18622
nation,England,E92000001,09/11/2020,19036
nation,England,E92000001,08/11/2020,18293
nation,England,E92000001,07/11/2020,21875
nation,England,E92000001,06/11/2020,20268
nation,England,E92000001,05/11/2020,21137
nation,England,E92000001,04/11/2020,21863
nation,England,E92000001,03/11/2020,17330
nation,England,E92000001,02/11/2020,15860
nation,England,E92000001,01/11/2020,20602
nation,England,E92000001,31/10/2020,18864
nation,England,E92000001,30/10/2020,20821
nation,England,E92000001,29/10/2020,19740
nation,England,E92000001,28/10/2020,21245
nation,England,E92000001,27/10/2020,19629
nation,England,E92000001,26/10/2020,17883
nation,England,E92000001,25/10/2020,16487
nation,England,E92000001,24/10/2020,19332
nation,England,E92000001,23/10/2020,17116
nation,England,E92000001,22/10/2020,17354
nation,England,E92000001,21/10/2020,22948
nation,England,E92000001,20/10/2020,17814
nation,England,E92000001,19/10/2020,16365
nation,England,E92000001,18/10/2020,14704
nation,England,E92000001,17/10/2020,13299
nation,England,E92000001,16/10/2020,12176
nation,England,E92000001,15/10/2020,16139
nation,England,E92000001,14/10/2020,16132
nation,England,E92000001,13/10/2020,14310
nation,England,E92000001,12/10/2020,11647
nation,England,E92000001,11/10/2020,10383
nation,England,E92000001,10/10/2020,12628
nation,England,E92000001,09/10/2020,10772
nation,England,E92000001,08/10/2020,14952
nation,England,E92000001,07/10/2020,11528
nation,England,E92000001,06/10/2020,12648
nation,England,E92000001,05/10/2020,10685
nation,England,E92000001,04/10/2020,21309
nation,England,E92000001,03/10/2020,10806
nation,England,E92000001,02/10/2020,4797
nation,England,E92000001,01/10/2020,5589
nation,England,E92000001,30/09/2020,5656
nation,England,E92000001,29/09/2020,5651
nation,England,E92000001,28/09/2020,3316
nation,England,E92000001,27/09/2020,4800
nation,England,E92000001,26/09/2020,4639
nation,England,E92000001,25/09/2020,5723
nation,England,E92000001,24/09/2020,5632
nation,England,E92000001,23/09/2020,5083
nation,England,E92000001,22/09/2020,4187
nation,England,E92000001,21/09/2020,3754
nation,England,E92000001,20/09/2020,3279
nation,England,E92000001,19/09/2020,3638
nation,England,E92000001,18/09/2020,3771
nation,England,E92000001,17/09/2020,2788
nation,England,E92000001,16/09/2020,3396
nation,England,E92000001,15/09/2020,2649
nation,England,E92000001,14/09/2020,2259
nation,England,E92000001,13/09/2020,2837
nation,England,E92000001,12/09/2020,3008
nation,England,E92000001,11/09/2020,3143
nation,England,E92000001,10/09/2020,2578
nation,England,E92000001,09/09/2020,2286
nation,England,E92000001,08/09/2020,2094
nation,England,E92000001,07/09/2020,2528
nation,England,E92000001,06/09/2020,2576
nation,England,E92000001,05/09/2020,1477
nation,England,E92000001,04/09/2020,1669
nation,England,E92000001,03/09/2020,1507
nation,England,E92000001,02/09/2020,1239
nation,England,E92000001,01/09/2020,1041
nation,England,E92000001,31/08/2020,1149
nation,England,E92000001,30/08/2020,1487
nation,England,E92000001,29/08/2020,891
nation,England,E92000001,28/08/2020,1106
nation,England,E92000001,27/08/2020,1350
nation,England,E92000001,26/08/2020,875
nation,England,E92000001,25/08/2020,1065
nation,England,E92000001,24/08/2020,758
nation,England,E92000001,23/08/2020,938
nation,England,E92000001,22/08/2020,1060
nation,England,E92000001,21/08/2020,908
nation,England,E92000001,20/08/2020,1035
nation,England,E92000001,19/08/2020,707
nation,England,E92000001,18/08/2020,975
nation,England,E92000001,17/08/2020,634
nation,England,E92000001,16/08/2020,952
nation,England,E92000001,15/08/2020,934
nation,England,E92000001,14/08/2020,1284
nation,England,E92000001,13/08/2020,1059
nation,England,E92000001,12/08/2020,925
nation,England,E92000001,11/08/2020,1035
nation,England,E92000001,10/08/2020,699
nation,England,E92000001,09/08/2020,988
nation,England,E92000001,08/08/2020,679
nation,England,E92000001,07/08/2020,796
nation,England,E92000001,06/08/2020,826
nation,England,E92000001,05/08/2020,804
nation,England,E92000001,04/08/2020,617
nation,England,E92000001,03/08/2020,856
nation,England,E92000001,02/08/2020,676
nation,England,E92000001,01/08/2020,722
nation,England,E92000001,31/07/2020,814
nation,England,E92000001,30/07/2020,812
nation,England,E92000001,29/07/2020,700
nation,England,E92000001,28/07/2020,547
nation,England,E92000001,27/07/2020,616
nation,England,E92000001,26/07/2020,721
nation,England,E92000001,25/07/2020,710
nation,England,E92000001,24/07/2020,688
nation,England,E92000001,23/07/2020,702
nation,England,E92000001,22/07/2020,519
nation,England,E92000001,21/07/2020,399
nation,England,E92000001,20/07/2020,535
nation,England,E92000001,19/07/2020,672
nation,England,E92000001,18/07/2020,796
nation,England,E92000001,17/07/2020,635
nation,England,E92000001,16/07/2020,597
nation,England,E92000001,15/07/2020,506
nation,England,E92000001,14/07/2020,372
nation,England,E92000001,13/07/2020,497
nation,England,E92000001,12/07/2020,615
nation,England,E92000001,11/07/2020,806
nation,England,E92000001,10/07/2020,480
nation,England,E92000001,09/07/2020,617
nation,England,E92000001,08/07/2020,606
nation,England,E92000001,07/07/2020,572
nation,England,E92000001,06/07/2020,331
nation,England,E92000001,05/07/2020,492
nation,England,E92000001,04/07/2020,579
nation,England,E92000001,03/07/2020,502
nation,England,E92000001,02/07/2020,523
nation,England,E92000001,01/07/2020,177
nation,England,E92000001,30/06/2020,196
nation,England,E92000001,29/06/2020,99
nation,England,E92000001,28/06/2020,142
nation,England,E92000001,27/06/2020,192
nation,England,E92000001,26/06/2020,175
nation,England,E92000001,25/06/2020,261
nation,England,E92000001,24/06/2020,107
nation,England,E92000001,23/06/2020,210
nation,England,E92000001,22/06/2020,178
nation,England,E92000001,21/06/2020,215
nation,England,E92000001,20/06/2020,324
nation,England,E92000001,19/06/2020,323
nation,England,E92000001,18/06/2020,281
nation,England,E92000001,17/06/2020,252
nation,England,E92000001,16/06/2020,252
nation,England,E92000001,15/06/2020,219
nation,England,E92000001,14/06/2020,292
nation,England,E92000001,13/06/2020,372
nation,England,E92000001,12/06/2020,392
nation,England,E92000001,11/06/2020,304
nation,England,E92000001,10/06/2020,63
nation,England,E92000001,09/06/2020,651
nation,England,E92000001,08/06/2020,92
nation,England,E92000001,07/06/2020,228
nation,England,E92000001,06/06/2020,422
nation,England,E92000001,05/06/2020,451
nation,England,E92000001,04/06/2020,431
nation,England,E92000001,03/06/2020,462
nation,England,E92000001,02/06/2020,444
nation,England,E92000001,01/06/2020,294
nation,England,E92000001,31/05/2020,320
nation,England,E92000001,30/05/2020,715
nation,England,E92000001,29/05/2020,560
nation,England,E92000001,28/05/2020,519
nation,England,E92000001,27/05/2020,609
nation,England,E92000001,26/05/2020,492
nation,England,E92000001,25/05/2020,494
nation,England,E92000001,24/05/2020,584
nation,England,E92000001,23/05/2020,979
nation,England,E92000001,22/05/2020,1083
nation,England,E92000001,21/05/2020,854
nation,England,E92000001,20/05/2020,824
nation,England,E92000001,19/05/2020,857
nation,England,E92000001,18/05/2020,816
nation,England,E92000001,17/05/2020,788
nation,England,E92000001,16/05/2020,1136
nation,England,E92000001,15/05/2020,1112
nation,England,E92000001,14/05/2020,1189
nation,England,E92000001,13/05/2020,1146
nation,England,E92000001,12/05/2020,1067
nation,England,E92000001,11/05/2020,891
nation,England,E92000001,10/05/2020,1007
nation,England,E92000001,09/05/2020,1349
nation,England,E92000001,08/05/2020,1694
nation,England,E92000001,07/05/2020,2133
nation,England,E92000001,06/05/2020,1611
nation,England,E92000001,05/05/2020,1842
nation,England,E92000001,04/05/2020,1485
nation,England,E92000001,03/05/2020,2019
nation,England,E92000001,02/05/2020,2228
nation,England,E92000001,01/05/2020,2501
nation,England,E92000001,30/04/2020,2484
nation,England,E92000001,29/04/2020,1403
nation,England,E92000001,28/04/2020,1989
nation,England,E92000001,27/04/2020,2264
nation,England,E92000001,26/04/2020,2152
nation,England,E92000001,25/04/2020,2826
nation,England,E92000001,24/04/2020,3004
nation,England,E92000001,23/04/2020,3084
nation,England,E92000001,22/04/2020,3020
nation,England,E92000001,21/04/2020,3087
nation,England,E92000001,20/04/2020,2401
nation,England,E92000001,19/04/2020,3607
nation,England,E92000001,18/04/2020,3548
nation,England,E92000001,17/04/2020,3985
nation,England,E92000001,16/04/2020,3118
nation,England,E92000001,15/04/2020,3188
nation,England,E92000001,14/04/2020,3854
nation,England,E92000001,13/04/2020,2999
nation,England,E92000001,12/04/2020,3672
nation,England,E92000001,11/04/2020,3841
nation,England,E92000001,10/04/2020,4263
nation,England,E92000001,09/04/2020,3798
nation,England,E92000001,08/04/2020,4788
nation,England,E92000001,07/04/2020,2978
nation,England,E92000001,06/04/2020,3176
nation,England,E92000001,05/04/2020,5107
nation,England,E92000001,04/04/2020,2910
nation,England,E92000001,03/04/2020,3576
nation,England,E92000001,02/04/2020,3583
nation,England,E92000001,01/04/2020,3630
nation,England,E92000001,31/03/2020,2414
nation,England,E92000001,30/03/2020,2107
nation,England,E92000001,29/03/2020,2060
nation,England,E92000001,28/03/2020,2139
nation,England,E92000001,27/03/2020,2506
nation,England,E92000001,26/03/2020,1809
nation,England,E92000001,25/03/2020,1130
nation,England,E92000001,24/03/2020,1258
nation,England,E92000001,23/03/2020,793
nation,England,E92000001,22/03/2020,535
nation,England,E92000001,21/03/2020,873
nation,England,E92000001,20/03/2020,628
nation,England,E92000001,19/03/2020,574
nation,England,E92000001,18/03/2020,625
nation,England,E92000001,17/03/2020,361
nation,England,E92000001,16/03/2020,97
nation,England,E92000001,15/03/2020,253
nation,England,E92000001,14/03/2020,201
nation,England,E92000001,13/03/2020,159
nation,England,E92000001,12/03/2020,99
nation,England,E92000001,11/03/2020,63
nation,England,E92000001,10/03/2020,46
nation,England,E92000001,09/03/2020,40
nation,England,E92000001,08/03/2020,58
nation,England,E92000001,07/03/2020,39
nation,England,E92000001,06/03/2020,39
nation,England,E92000001,05/03/2020,25
nation,England,E92000001,04/03/2020,32
nation,England,E92000001,03/03/2020,11
nation,England,E92000001,02/03/2020,4
nation,England,E92000001,01/03/2020,12
nation,England,E92000001,29/02/2020,3
nation,England,E92000001,28/02/2020,5
nation,England,E92000001,27/02/2020,0
nation,England,E92000001,26/02/2020,0
nation,England,E92000001,25/02/2020,0
nation,England,E92000001,24/02/2020,4
nation,England,E92000001,23/02/2020,0
nation,England,E92000001,22/02/2020,0
nation,England,E92000001,21/02/2020,0
nation,England,E92000001,20/02/2020,0
nation,England,E92000001,19/02/2020,0
nation,England,E92000001,18/02/2020,0
nation,England,E92000001,17/02/2020,0
nation,England,E92000001,16/02/2020,0
nation,England,E92000001,15/02/2020,0
nation,England,E92000001,14/02/2020,0
nation,England,E92000001,13/02/2020,1
nation,England,E92000001,12/02/2020,0
nation,England,E92000001,11/02/2020,0
nation,England,E92000001,10/02/2020,4
nation,England,E92000001,09/02/2020,1
nation,England,E92000001,08/02/2020,0
nation,England,E92000001,07/02/2020,0
nation,England,E92000001,06/02/2020,1
nation,England,E92000001,05/02/2020,0
nation,England,E92000001,04/02/2020,0
nation,England,E92000001,03/02/2020,0
nation,England,E92000001,02/02/2020,0
nation,England,E92000001,01/02/2020,0
nation,England,E92000001,31/01/2020,2
nation,Northern Ireland,N92000002,27/11/2021,1482
nation,Northern Ireland,N92000002,26/11/2021,2004
nation,Northern Ireland,N92000002,25/11/2021,1549
nation,Northern Ireland,N92000002,24/11/2021,1931
nation,Northern Ireland,N92000002,23/11/2021,1476
nation,Northern Ireland,N92000002,22/11/2021,1469
nation,Northern Ireland,N92000002,21/11/2021,1406
nation,Northern Ireland,N92000002,20/11/2021,1846
nation,Northern Ireland,N92000002,19/11/2021,1690
nation,Northern Ireland,N92000002,18/11/2021,1681
nation,Northern Ireland,N92000002,17/11/2021,1848
nation,Northern Ireland,N92000002,16/11/2021,1698
nation,Northern Ireland,N92000002,15/11/2021,1457
nation,Northern Ireland,N92000002,14/11/2021,1377
nation,Northern Ireland,N92000002,13/11/2021,1806
nation,Northern Ireland,N92000002,12/11/2021,1087
nation,Northern Ireland,N92000002,11/11/2021,1462
nation,Northern Ireland,N92000002,10/11/2021,1765
nation,Northern Ireland,N92000002,09/11/2021,1228
nation,Northern Ireland,N92000002,08/11/2021,1028
nation,Northern Ireland,N92000002,07/11/2021,1035
nation,Northern Ireland,N92000002,06/11/2021,1194
nation,Northern Ireland,N92000002,05/11/2021,1164
nation,Northern Ireland,N92000002,04/11/2021,1481
nation,Northern Ireland,N92000002,03/11/2021,995
nation,Northern Ireland,N92000002,02/11/2021,1114
nation,Northern Ireland,N92000002,01/11/2021,948
nation,Northern Ireland,N92000002,31/10/2021,1001
nation,Northern Ireland,N92000002,30/10/2021,1207
